datetime,area
2007-05-22,14481.35
2007-05-23,14508.95
2007-05-24,14538.85
2007-05-25,14582.55
2007-05-26,14587.15
2007-05-27,14605.55
2007-05-28,14620.5
2007-05-29,14632.0
2007-05-30,14644.65
2007-05-31,14658.45
2007-06-01,14682.6
2007-06-02,14718.25
2007-06-03,14752.75
2007-06-04,14786.1
2007-06-05,14817.15
2007-06-06,14847.05
2007-06-07,14852.8
2007-06-08,14863.15
2007-06-09,14870.05
2007-06-10,14876.95
2007-06-11,14883.85
2007-06-12,14904.55
2007-06-13,14932.15
2007-06-14,14945.95
2007-06-15,14962.05
2007-06-16,14985.05
2007-06-17,15003.6
2007-06-18,15022.8
2007-06-19,15031.2
2007-06-20,15032.4
2007-06-21,15032.4
2007-06-22,15030.0
2007-06-23,15021.6
2007-06-24,15014.4
2007-06-25,15008.4
2007-06-26,14998.85
2007-06-27,14987.35
2007-06-28,14978.15
2007-06-29,14972.4
2007-06-30,14963.2
2007-07-01,14955.15
2007-07-02,14944.8
2007-07-03,14933.3
2007-07-04,14921.8
2007-07-05,14909.15
2007-07-06,14898.8
2007-07-07,14883.85
2007-07-08,14874.65
2007-07-09,14860.85
2007-07-10,14844.75
2007-07-11,14828.65
2007-07-12,14816.0
2007-07-13,14802.2
2007-07-14,14790.7
2007-07-15,14774.6
2007-07-16,14761.95
2007-07-17,14749.3
2007-07-18,14732.05
2007-07-19,14717.1
2007-07-20,14709.05
2007-07-21,14695.25
2007-07-22,14689.5
2007-07-23,14683.75
2007-07-24,14675.7
2007-07-25,14665.35
2007-07-26,14655.0
2007-07-27,14643.5
2007-07-28,14638.9
2007-07-29,14635.45
2007-07-30,14628.55
2007-07-31,14628.55
2007-08-01,14625.1
2007-08-02,14617.05
2007-08-03,14658.45
2007-08-04,14660.75
2007-08-05,14664.2
2007-08-06,14673.4
2007-08-07,14683.75
2007-08-08,14689.5
2007-08-09,14689.5
2007-08-10,14688.35
2007-08-11,14680.3
2007-08-12,14673.4
2007-08-13,14664.2
2007-08-14,14655.0
2007-08-15,14648.1
2007-08-16,14637.75
2007-08-17,14622.8
2007-08-18,14611.3
2007-08-19,14599.8
2007-08-20,14582.55
2007-08-21,14567.6
2007-08-22,14550.35
2007-08-23,14534.25
2007-08-24,14519.3
2007-08-25,14504.35
2007-08-26,14491.7
2007-08-27,14476.75
2007-08-28,14462.95
2007-08-29,14451.45
2007-08-30,14436.5
2007-08-31,14422.7
2007-09-01,14406.6
2007-09-02,14406.6
2007-09-03,14396.25
2007-09-04,14388.2
2007-09-05,14375.55
2007-09-06,14359.45
2007-09-07,14347.95
2007-09-08,14333.0
2007-09-09,14319.2
2007-09-10,14301.95
2007-09-11,14290.45
2007-09-12,14274.35
2007-09-13,14259.4
2007-09-14,14244.45
2007-09-15,14228.35
2007-09-16,14212.25
2007-09-17,14200.75
2007-09-18,14191.55
2007-09-19,14177.75
2007-09-20,14163.95
2007-09-21,14151.3
2007-09-22,14139.8
2007-09-23,14132.9
2007-09-24,14136.35
2007-09-25,14134.05
2007-09-26,14122.55
2007-09-27,14112.2
2007-09-28,14103.0
2007-09-29,14093.8
2007-09-30,14091.5
2007-10-01,14084.6
2007-10-02,14076.55
2007-10-03,14068.5
2007-10-04,14058.15
2007-10-05,14065.05
2007-10-06,14078.85
2007-10-07,14083.45
2007-10-08,14086.9
2007-10-09,14088.05
2007-10-10,14086.9
2007-10-11,14084.6
2007-10-12,14084.6
2007-10-13,14085.75
2007-10-14,14090.35
2007-10-15,14092.65
2007-10-16,14094.95
2007-10-17,14090.35
2007-10-18,14089.2
2007-10-19,14093.8
2007-10-20,14097.25
2007-10-21,14100.7
2007-10-22,14099.55
2007-10-23,14093.8
2007-10-24,14089.2
2007-10-25,14083.45
2007-10-26,14082.3
2007-10-27,14082.3
2007-10-28,14082.3
2007-10-29,14082.3
2007-10-30,14082.3
2007-10-31,14081.15
2007-11-01,14075.4
2007-11-02,14068.5
2007-11-03,14059.3
2007-11-04,14051.25
2007-11-05,14044.35
2007-11-06,14036.3
2007-11-07,14028.25
2007-11-08,14017.9
2007-11-09,14008.7
2007-11-10,13998.35
2007-11-11,13989.15
2007-11-12,13981.1
2007-11-13,13971.9
2007-11-14,13963.85
2007-11-15,13955.8
2007-11-16,13946.6
2007-11-17,13937.4
2007-11-18,13929.35
2007-11-19,13920.15
2007-11-20,13910.95
2007-11-21,13900.6
2007-11-22,13891.4
2007-11-23,13885.65
2007-11-24,13876.45
2007-11-25,13866.1
2007-11-26,13861.5
2007-11-27,13860.35
2007-11-28,13856.9
2007-11-29,13858.05
2007-11-30,13858.05
2007-12-01,13883.35
2007-12-02,13904.05
2007-12-03,13908.65
2007-12-04,13913.25
2007-12-05,13919.0
2007-12-06,13919.0
2007-12-07,13928.2
2007-12-08,13974.2
2007-12-09,13984.55
2007-12-10,13989.15
2007-12-11,13989.15
2007-12-12,13989.15
2007-12-13,13985.7
2007-12-14,13977.65
2007-12-15,13973.05
2007-12-16,13963.85
2007-12-17,13955.8
2007-12-18,13948.9
2007-12-19,13940.85
2007-12-20,13936.25
2007-12-21,13929.35
2007-12-22,13922.45
2007-12-23,13913.25
2007-12-24,13905.2
2007-12-25,13894.85
2007-12-26,13887.95
2007-12-27,13876.45
2007-12-28,13868.4
2007-12-29,13858.05
2007-12-30,13846.55
2007-12-31,13837.35
2008-01-01,13828.15
2008-01-02,13817.8
2008-01-03,13809.75
2008-01-04,13802.85
2008-01-05,13799.4
2008-01-06,13821.25
2008-01-07,13824.7
2008-01-08,13822.4
2008-01-09,13814.35
2008-01-10,13806.3
2008-01-11,13798.25
2008-01-12,13791.35
2008-01-13,13783.3
2008-01-14,13775.25
2008-01-15,13766.05
2008-01-16,13756.85
2008-01-17,13747.65
2008-01-18,13737.3
2008-01-19,13728.1
2008-01-20,13720.05
2008-01-21,13709.7
2008-01-22,13701.65
2008-01-23,13693.6
2008-01-24,13686.7
2008-01-25,13679.8
2008-01-26,13671.75
2008-01-27,13667.15
2008-01-28,13659.1
2008-01-29,13656.8
2008-01-30,13647.6
2008-01-31,13641.85
2008-02-01,13632.65
2008-02-02,13625.75
2008-02-03,13622.3
2008-02-04,13618.85
2008-02-05,13611.95
2008-02-06,13602.75
2008-02-07,13595.85
2008-02-08,13587.8
2008-02-09,13582.05
2008-02-10,13574.0
2008-02-11,13551.0
2008-02-12,13514.2
2008-02-13,13475.1
2008-02-14,13444.05
2008-02-15,13410.7
2008-02-16,13379.65
2008-02-17,13348.6
2008-02-18,13315.25
2008-02-19,13280.75
2008-02-20,13246.25
2008-02-21,13215.2
2008-02-22,13185.3
2008-02-23,13160.0
2008-02-24,13127.8
2008-02-25,13101.35
2008-02-26,13072.6
2008-02-27,13046.15
2008-02-28,13018.55
2008-02-29,12997.85
2008-03-01,12982.9
2008-03-02,12969.1
2008-03-03,12948.4
2008-03-04,12923.1
2008-03-05,12897.8
2008-03-06,12872.5
2008-03-07,12842.6
2008-03-08,12816.15
2008-03-09,12786.25
2008-03-10,12747.15
2008-03-11,12704.6
2008-03-12,12675.3
2008-03-13,12652.5
2008-03-14,12638.25
2008-03-15,12621.15
2008-03-16,12599.3
2008-03-17,12578.4
2008-03-18,12550.85
2008-03-19,12525.2
2008-03-20,12504.3
2008-03-21,12491.95
2008-03-22,12482.45
2008-03-23,12473.9
2008-03-24,12470.1
2008-03-25,12465.35
2008-03-26,12466.3
2008-03-27,12474.85
2008-03-28,12491.0
2008-03-29,12493.85
2008-03-30,12495.75
2008-03-31,12501.45
2008-04-01,12504.3
2008-04-02,12500.5
2008-04-03,12499.55
2008-04-04,12501.45
2008-04-05,12500.5
2008-04-06,12491.95
2008-04-07,12489.1
2008-04-08,12497.65
2008-04-09,12517.6
2008-04-10,12532.8
2008-04-11,12543.25
2008-04-12,12543.25
2008-04-13,12541.35
2008-04-14,12535.65
2008-04-15,12539.45
2008-04-16,12571.75
2008-04-17,12590.75
2008-04-18,12600.25
2008-04-19,12604.05
2008-04-20,12617.35
2008-04-21,12633.5
2008-04-22,12649.65
2008-04-23,12668.65
2008-04-24,12691.45
2008-04-25,12721.85
2008-04-26,12747.15
2008-04-27,12770.15
2008-04-28,12783.95
2008-04-29,12798.9
2008-04-30,12811.55
2008-05-01,12836.85
2008-05-02,12861.0
2008-05-03,12871.35
2008-05-04,12875.95
2008-05-05,12882.85
2008-05-06,12896.65
2008-05-07,12917.35
2008-05-08,12942.65
2008-05-09,12958.75
2008-05-10,12971.4
2008-05-11,12989.8
2008-05-12,13016.25
2008-05-13,13061.1
2008-05-14,13094.45
2008-05-15,13124.35
2008-05-16,13155.4
2008-05-17,13187.6
2008-05-18,13226.7
2008-05-19,13270.4
2008-05-20,13318.7
2008-05-21,13380.8
2008-05-22,13440.6
2008-05-23,13476.25
2008-05-24,13485.45
2008-05-25,13486.6
2008-05-26,13484.3
2008-05-27,13470.5
2008-05-28,13439.45
2008-05-29,13398.05
2008-05-30,13365.85
2008-05-31,13337.1
2008-06-01,13318.7
2008-06-02,13310.65
2008-06-03,13307.2
2008-06-04,13301.45
2008-06-05,13279.6
2008-06-06,13253.15
2008-06-07,13212.9
2008-06-08,13181.85
2008-06-09,13149.65
2008-06-10,13128.95
2008-06-11,13111.7
2008-06-12,13072.6
2008-06-13,13028.9
2008-06-14,12990.95
2008-06-15,12956.45
2008-06-16,12927.7
2008-06-17,12897.8
2008-06-18,12869.05
2008-06-19,12850.65
2008-06-20,12840.3
2008-06-21,12832.25
2008-06-22,12815.0
2008-06-23,12811.55
2008-06-24,12818.45
2008-06-25,12831.1
2008-06-26,12848.35
2008-06-27,12863.3
2008-06-28,12878.25
2008-06-29,12890.9
2008-06-30,12903.55
2008-07-01,12919.65
2008-07-02,12931.15
2008-07-03,12938.05
2008-07-04,12949.55
2008-07-05,12956.45
2008-07-06,12958.75
2008-07-07,12963.35
2008-07-08,12966.8
2008-07-09,12966.8
2008-07-10,12964.5
2008-07-11,12959.9
2008-07-12,12954.15
2008-07-13,12950.7
2008-07-14,12947.25
2008-07-15,12941.5
2008-07-16,12934.6
2008-07-17,12928.85
2008-07-18,12920.8
2008-07-19,12910.45
2008-07-20,12901.25
2008-07-21,12900.1
2008-07-22,12896.65
2008-07-23,12893.2
2008-07-24,12890.9
2008-07-25,12888.6
2008-07-26,12887.45
2008-07-27,12889.75
2008-07-28,12892.05
2008-07-29,12894.35
2008-07-30,12893.2
2008-07-31,12887.45
2008-08-01,12882.85
2008-08-02,12875.95
2008-08-03,12866.75
2008-08-04,12856.4
2008-08-05,12850.65
2008-08-06,12847.2
2008-08-07,12850.65
2008-08-08,12856.4
2008-08-09,12862.15
2008-08-10,12866.75
2008-08-11,12867.9
2008-08-12,12863.3
2008-08-13,12855.25
2008-08-14,12846.05
2008-08-15,12835.7
2008-08-16,12821.9
2008-08-17,12815.0
2008-08-18,12806.95
2008-08-19,12794.3
2008-08-20,12777.05
2008-08-21,12759.8
2008-08-22,12742.55
2008-08-23,12726.45
2008-08-24,12709.2
2008-08-25,12694.3
2008-08-26,12681.0
2008-08-27,12668.65
2008-08-28,12653.45
2008-08-29,12642.05
2008-08-30,12637.3
2008-08-31,12648.7
2008-09-01,12680.05
2008-09-02,12693.35
2008-09-03,12696.2
2008-09-04,12697.15
2008-09-05,12695.25
2008-09-06,12692.4
2008-09-07,12688.6
2008-09-08,12683.85
2008-09-09,12677.2
2008-09-10,12673.4
2008-09-11,12668.65
2008-09-12,12663.9
2008-09-13,12659.15
2008-09-14,12653.45
2008-09-15,12648.7
2008-09-16,12640.15
2008-09-17,12628.75
2008-09-18,12615.45
2008-09-19,12605.95
2008-09-20,12595.5
2008-09-21,12586.0
2008-09-22,12576.5
2008-09-23,12566.05
2008-09-24,12555.6
2008-09-25,12546.1
2008-09-26,12534.7
2008-09-27,12522.35
2008-09-28,12510.95
2008-09-29,12499.55
2008-09-30,12485.3
2008-10-01,12472.95
2008-10-02,12460.6
2008-10-03,12450.15
2008-10-04,12448.25
2008-10-05,12451.1
2008-10-06,12447.3
2008-10-07,12444.45
2008-10-08,12440.65
2008-10-09,12440.65
2008-10-10,12433.05
2008-10-11,12434.0
2008-10-12,12438.75
2008-10-13,12443.5
2008-10-14,12447.3
2008-10-15,12445.4
2008-10-16,12444.45
2008-10-17,12438.75
2008-10-18,12435.9
2008-10-19,12431.15
2008-10-20,12428.3
2008-10-21,12426.4
2008-10-22,12423.55
2008-10-23,12421.65
2008-10-24,12416.9
2008-10-25,12415.95
2008-10-26,12413.1
2008-10-27,12411.2
2008-10-28,12408.35
2008-10-29,12404.55
2008-10-30,12401.7
2008-10-31,12398.85
2008-11-01,12395.05
2008-11-02,12391.25
2008-11-03,12389.35
2008-11-04,12382.7
2008-11-05,12377.95
2008-11-06,12375.1
2008-11-07,12371.3
2008-11-08,12367.5
2008-11-09,12363.7
2008-11-10,12361.8
2008-11-11,12358.95
2008-11-12,12356.1
2008-11-13,12353.25
2008-11-14,12348.5
2008-11-15,12345.65
2008-11-16,12341.85
2008-11-17,12338.05
2008-11-18,12335.2
2008-11-19,12331.4
2008-11-20,12326.65
2008-11-21,12322.85
2008-11-22,12319.05
2008-11-23,12313.35
2008-11-24,12307.65
2008-11-25,12302.9
2008-11-26,12298.15
2008-11-27,12297.2
2008-11-28,12298.15
2008-11-29,12295.3
2008-11-30,12289.6
2008-12-01,12287.7
2008-12-02,12282.0
2008-12-03,12278.2
2008-12-04,12273.45
2008-12-05,12268.7
2008-12-06,12263.95
2008-12-07,12259.2
2008-12-08,12256.35
2008-12-09,12254.45
2008-12-10,12250.65
2008-12-11,12245.9
2008-12-12,12241.15
2008-12-13,12235.45
2008-12-14,12232.6
2008-12-15,12227.85
2008-12-16,12225.0
2008-12-17,12222.15
2008-12-18,12218.35
2008-12-19,12216.45
2008-12-20,12210.75
2008-12-21,12206.0
2008-12-22,12203.15
2008-12-23,12202.2
2008-12-24,12198.4
2008-12-25,12194.6
2008-12-26,12190.8
2008-12-27,12186.05
2008-12-28,12180.35
2008-12-29,12174.65
2008-12-30,12169.9
2008-12-31,12166.1
2009-01-01,12161.35
2009-01-02,12158.5
2009-01-03,12154.7
2009-01-04,12152.8
2009-01-05,12149.95
2009-01-06,12146.15
2009-01-07,12143.3
2009-01-08,12139.5
2009-01-09,12133.8
2009-01-10,12130.0
2009-01-11,12125.25
2009-01-12,12121.45
2009-01-13,12116.7
2009-01-14,12112.9
2009-01-15,12108.15
2009-01-16,12104.35
2009-01-17,12099.6
2009-01-18,12095.8
2009-01-19,12092.0
2009-01-20,12089.15
2009-01-21,12085.35
2009-01-22,12081.55
2009-01-23,12078.7
2009-01-24,12078.7
2009-01-25,12078.7
2009-01-26,12076.8
2009-01-27,12074.9
2009-01-28,12072.05
2009-01-29,12070.15
2009-01-30,12066.35
2009-01-31,12062.55
2009-02-01,12059.7
2009-02-02,12055.9
2009-02-03,12051.15
2009-02-04,12048.3
2009-02-05,12045.45
2009-02-06,12042.6
2009-02-07,12040.7
2009-02-08,12037.85
2009-02-09,12039.75
2009-02-10,12038.8
2009-02-11,12038.8
2009-02-12,12034.05
2009-02-13,12032.15
2009-02-14,12029.3
2009-02-15,12026.45
2009-02-16,12022.65
2009-02-17,12017.9
2009-02-18,12013.15
2009-02-19,12010.3
2009-02-20,12006.5
2009-02-21,12003.65
2009-02-22,11999.85
2009-02-23,11997.95
2009-02-24,11999.85
2009-02-25,12005.55
2009-02-26,12012.2
2009-02-27,12016.95
2009-02-28,12020.75
2009-03-01,12023.6
2009-03-02,12026.45
2009-03-03,12033.1
2009-03-04,12035.95
2009-03-05,12038.8
2009-03-06,12042.6
2009-03-07,12046.4
2009-03-08,12048.3
2009-03-09,12046.4
2009-03-10,12047.35
2009-03-11,12048.3
2009-03-12,12047.35
2009-03-13,12051.15
2009-03-14,12051.15
2009-03-15,12052.1
2009-03-16,12056.85
2009-03-17,12064.45
2009-03-18,12075.85
2009-03-19,12090.1
2009-03-20,12108.15
2009-03-21,12126.2
2009-03-22,12143.3
2009-03-23,12168.95
2009-03-24,12187.0
2009-03-25,12200.3
2009-03-26,12209.8
2009-03-27,12219.3
2009-03-28,12225.0
2009-03-29,12228.8
2009-03-30,12230.7
2009-03-31,12237.35
2009-04-01,12241.15
2009-04-02,12245.9
2009-04-03,12248.75
2009-04-04,12253.5
2009-04-05,12258.25
2009-04-06,12258.25
2009-04-07,12260.15
2009-04-08,12261.1
2009-04-09,12266.8
2009-04-10,12272.5
2009-04-11,12285.8
2009-04-12,12299.1
2009-04-13,12312.4
2009-04-14,12316.2
2009-04-15,12320.95
2009-04-16,12330.45
2009-04-17,12342.8
2009-04-18,12347.55
2009-04-19,12350.4
2009-04-20,12358.0
2009-04-21,12367.5
2009-04-22,12387.45
2009-04-23,12411.2
2009-04-24,12434.0
2009-04-25,12460.6
2009-04-26,12487.2
2009-04-27,12508.1
2009-04-28,12529.0
